aws_service,control_domain,control_objective,iso_27001_mapping,nist_csf_mapping,essential_eight_mapping,evidence_examples,governance_notes
S3,Data Protection,Protect sensitive data stored in object storage through encryption access restriction and public exposure prevention,A.8.2 Information classification; A.8.3 Information access restriction; A.8.24 Use of cryptography,PR.DS Data Security; PR.AC Identity Management Authentication and Access Control; GV.RM Risk Management Strategy,Regular backups; Restrict administrative privileges,"S3 evidence should confirm public access settings encryption configuration bucket policy review and data classification."
IAM,Identity and Access Management,Ensure users roles and credentials follow least privilege access review and privileged access control,A.5.15 Access control; A.5.16 Identity management; A.5.18 Access rights; A.8.2 Privileged access rights,PR.AA Identity Management Authentication and Access Control; PR.AC Access Control,Restrict administrative privileges; Multi-factor authentication,"IAM evidence should include access review records policy updates privileged access approvals and credential rotation evidence."
EC2,Vulnerability Management,Identify prioritise and remediate vulnerabilities affecting compute assets based on severity exposure and business impact,A.8.8 Management of technical vulnerabilities; A.8.32 Change management,ID.RA Risk Assessment; PR.IP Information Protection Processes and Procedures; DE.CM Security Continuous Monitoring,Patch applications; Patch operating systems,"EC2 evidence should include vulnerability scan outputs patch records change tickets and post-remediation validation."
Macie,Privacy and Sensitive Data Governance,Detect classify and reduce exposure of sensitive personal or regulated data in cloud storage,A.5.34 Privacy and protection of PII; A.8.12 Data leakage prevention; A.8.10 Information deletion,GV.RM Risk Management Strategy; PR.DS Data Security; ID.AM Asset Management,Restrict administrative privileges; Regular backups,"Macie evidence should include sensitive data findings classification review access review minimisation decision and remediation record."
CloudTrail,Logging and Monitoring,Maintain audit logs for cloud account activity and protect logs from unauthorised modification or deletion,A.8.15 Logging; A.8.16 Monitoring activities; A.8.17 Clock synchronisation,DE.CM Security Continuous Monitoring; DE.AE Anomalies and Events; PR.PS Platform Security,User application hardening,"CloudTrail evidence should confirm logging enabled across regions log destination protection monitoring rules and retention settings."
Security Group,Network Security,Restrict inbound and outbound network access to approved sources ports and protocols,A.8.20 Network security; A.8.21 Security of network services; A.5.15 Access control,PR.PT Protective Technology; PR.AC Access Control; DE.CM Security Continuous Monitoring,Restrict administrative privileges,"Security group evidence should include rule export approved exception records firewall review and closure screenshot."
ECR,Container Security,Reduce container image risk by identifying vulnerable dependencies rebuilding images and validating deployment artefacts,A.8.8 Management of technical vulnerabilities; A.8.9 Configuration management; A.8.25 Secure development lifecycle,PR.PS Platform Security; ID.RA Risk Assessment; PR.IP Information Protection Processes and Procedures,Patch applications,"ECR evidence should include vulnerability scan result updated image digest dependency update evidence and deployment confirmation."
RDS,Database Security,Protect databases through encryption access control backup recoverability and monitoring,A.8.24 Use of cryptography; A.8.13 Information backup; A.5.15 Access control; A.8.15 Logging,PR.DS Data Security; PR.AC Access Control; PR.IP Information Protection Processes and Procedures,Regular backups; Restrict administrative privileges,"RDS evidence should include encryption settings backup configuration access review and remediation or risk acceptance record."
GuardDuty,Threat Detection,Enable cloud-native threat detection and ensure findings are reviewed triaged and escalated through security operations,A.8.16 Monitoring activities; A.8.15 Logging; A.5.24 Information security incident management planning and preparation,DE.CM Security Continuous Monitoring; DE.AE Anomalies and Events; RS.AN Analysis,User application hardening,"GuardDuty evidence should include service enablement account coverage finding workflow and monitoring validation."
KMS,Encryption and Key Management,Manage encryption keys securely including rotation ownership access control and usage monitoring,A.8.24 Use of cryptography; A.5.15 Access control; A.8.2 Privileged access rights,PR.DS Data Security; PR.AC Access Control; PR.PS Platform Security,Restrict administrative privileges,"KMS evidence should include key rotation settings key policy review access permissions and encryption control validation."
Lambda,Serverless Security,Maintain secure serverless functions through supported runtimes least privilege configuration and deployment validation,A.8.8 Management of technical vulnerabilities; A.8.9 Configuration management; A.8.25 Secure development lifecycle,PR.PS Platform Security; ID.RA Risk Assessment; PR.IP Information Protection Processes and Procedures,Patch applications,"Lambda evidence should include runtime version deployment record test evidence least privilege role review and monitoring configuration."
ELB,Transport Security,Protect internet-facing applications by enforcing HTTPS approved TLS policies and secure listener configuration,A.8.20 Network security; A.8.24 Use of cryptography; A.8.21 Security of network services,PR.DS Data Security; PR.PT Protective Technology; PR.PS Platform Security,User application hardening,"ELB evidence should include listener configuration TLS policy HTTPS redirect validation and external access test result."
Security Hub,Security Posture Management,Aggregate security findings prioritise risk and maintain governance visibility across cloud security controls,A.5.36 Compliance with policies rules and standards; A.8.8 Management of technical vulnerabilities; A.8.16 Monitoring activities,GV.OV Organizational Context; GV.RM Risk Management Strategy; DE.CM Security Continuous Monitoring,Patch applications; Patch operating systems,"Security Hub evidence should include finding exports prioritisation logic remediation tracker and control mapping report."
AWS Account,Cloud Governance,Maintain baseline account security controls including logging monitoring threat detection access control and exception management,A.5.1 Policies for information security; A.5.4 Management responsibilities; A.5.36 Compliance with policies rules and standards,GV.GV Organizational governance; GV.RM Risk Management Strategy; ID.AM Asset Management,Restrict administrative privileges; Multi-factor authentication,"Account-level evidence should include baseline checklist account coverage report exception register and management approval records."
Application Load Balancer,Application Edge Security,Ensure public application entry points enforce secure communication and approved exposure patterns,A.8.20 Network security; A.8.24 Use of cryptography; A.8.21 Security of network services,PR.DS Data Security; PR.PT Protective Technology; PR.PS Platform Security,User application hardening,"ALB evidence should include HTTPS listener redirect rules TLS policy screenshot and validation result."
