finding_id,source_tool,aws_service,finding_title,severity,asset_type,asset_id,asset_sensitivity,exposure,status,owner,evidence_required,recommended_action
F-001,Security Hub,S3,S3 bucket allows public read access,Critical,S3 Bucket,prod-customer-records-bucket,Sensitive,Public,Open,Cloud Security Team,"Bucket policy screenshot; S3 Block Public Access confirmation; access review record","Enable S3 Block Public Access, update bucket policy, remove public permissions and document closure evidence"
F-002,Security Hub,IAM,IAM user has administrator access,High,IAM User,legacy-admin-user,High,Internal,Open,Identity and Access Team,"Updated IAM policy; privileged access review; approval record","Remove unnecessary administrator permissions and replace with least-privilege role-based access"
F-003,Inspector,EC2,EC2 instance has critical vulnerability,Critical,EC2 Instance,i-0a12prodweb01,High,Public,In Progress,Infrastructure Team,"Inspector scan result; patch record; change ticket; post-remediation scan","Patch the affected instance, validate remediation with a new scan and record the change evidence"
F-004,Macie,S3,Sensitive personal data detected in unencrypted storage,Critical,S3 Bucket,research-data-archive,Sensitive,Restricted,Open,Data Governance Team,"Macie finding export; encryption configuration; data classification review","Enable encryption, review data classification, restrict access and document privacy risk treatment"
F-005,Security Hub,CloudTrail,CloudTrail logging disabled,Critical,AWS Account,production-account,High,Internal,Open,Security Operations Team,"CloudTrail configuration screenshot; logging validation; monitoring rule evidence","Enable CloudTrail across all regions and validate that logs are delivered to a protected destination"
F-006,Security Hub,Security Group,Security group allows inbound SSH from internet,High,Security Group,sg-ssh-open-prod,High,Public,Open,Cloud Security Team,"Security group rule export; approved access exception; remediation screenshot","Restrict SSH access to approved IP ranges or remove direct SSH exposure"
F-007,Inspector,ECR,Container image contains high severity vulnerabilities,High,ECR Image,payment-api:latest,High,Internal,In Progress,Application Security Team,"Inspector vulnerability report; updated image digest; deployment record","Update vulnerable packages, rebuild the container image and redeploy using a validated image"
F-008,Security Hub,RDS,RDS database is not encrypted at rest,High,RDS Instance,customer-db-prod,Sensitive,Restricted,Open,Database Team,"RDS encryption configuration; migration plan; risk acceptance or remediation record","Enable encryption at rest through approved migration or document temporary risk acceptance"
F-009,Security Hub,IAM,Access key has not been rotated for more than 180 days,Medium,IAM Access Key,AKIA-legacy-key,Moderate,Internal,Open,Identity and Access Team,"Access key age report; rotation evidence; user confirmation","Rotate the access key, remove unused credentials and confirm key owner accountability"
F-010,Security Hub,S3,S3 bucket versioning disabled for critical data,Medium,S3 Bucket,backup-evidence-bucket,High,Internal,Open,Cloud Operations Team,"S3 versioning configuration; backup control evidence; change record","Enable versioning to support recovery, integrity and audit evidence retention"
F-011,Security Hub,GuardDuty,GuardDuty not enabled in production account,High,AWS Account,production-account,High,Internal,Open,Security Operations Team,"GuardDuty configuration screenshot; account coverage report; monitoring validation","Enable GuardDuty and confirm findings are monitored through the security operations workflow"
F-012,Security Hub,KMS,KMS key rotation disabled,Medium,KMS Key,kms-prod-data-key,High,Internal,Open,Cloud Security Team,"KMS key configuration; rotation setting screenshot; approval evidence","Enable automatic key rotation where appropriate and record encryption control evidence"
F-013,Inspector,Lambda,Lambda function uses outdated runtime,Medium,Lambda Function,customer-export-function,Moderate,Internal,In Progress,Application Team,"Runtime version evidence; deployment record; test results","Upgrade the Lambda runtime, test the function and record deployment evidence"
F-014,Security Hub,ELB,Load balancer does not enforce HTTPS,High,Application Load Balancer,alb-customer-portal,High,Public,Open,Infrastructure Team,"Listener configuration; TLS policy evidence; validation screenshot","Redirect HTTP to HTTPS, apply approved TLS policy and validate external access"
F-015,Macie,S3,Potential sensitive data shared with broad internal access,High,S3 Bucket,analytics-shared-dataset,Sensitive,Internal,Open,Data Governance Team,"Macie finding export; access review record; approved sharing justification","Review access permissions, reduce broad access and document data-sharing approval"
